OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
712,Pu'uhonua o Honaunau National Historical Park,15,001
713,Pu'ukohola Heiau National Historic Site,15,001
714,Rainbow Bridge National Monument,49,037
715,Redwood National Park,06,015
716,Redwood National Park,06,023
717,Richmond National Battlefield Park,51,033
718,Richmond National Battlefield Park,51,041
719,Richmond National Battlefield Park,51,085
720,Richmond National Battlefield Park,51,087
721,Richmond National Battlefield Park,51,760
722,Rio Grande Wild and Scenic River,48,043
723,Rio Grande Wild and Scenic River,48,443
724,Rio Grande Wild and Scenic River,48,465
725,River Raisin National Battlefield Park,26,115
726,Rock Creek Park,11,001
727,Rock Creek Park,24,031
728,Rock Creek Park,24,033
729,Rocky Mountain National Park,08,013
730,Rocky Mountain National Park,08,049
731,Rocky Mountain National Park,08,057
732,Rocky Mountain National Park,08,069
733,Roger Williams National Memorial,44,007
734,Ronald Reagan Boyhood Home National Historic Site,17,103
735,Rosie the Riveter/World War II Home Front National Historical Park,06,013
736,Ross Lake National Recreation Area,53,057
737,Ross Lake National Recreation Area,53,073
738,Russell Cave National Monument,01,071
739,Sagamore Hill National Historic Site,36,059
740,Saguaro National Park,04,019
741,Saint-Gaudens National Historic Site,33,019
742,Saint Croix Island International Historic Site,23,029
743,Saint Croix National Scenic Riverway,27,025
744,Saint Croix National Scenic Riverway,27,115
745,Saint Croix National Scenic Riverway,55,007
746,Saint Croix National Scenic Riverway,55,013
747,Saint Croix National Scenic Riverway,55,031
748,Saint Croix National Scenic Riverway,55,095
749,Saint Croix National Scenic Riverway,55,113
750,Saint Croix National Scenic Riverway,55,129
751,Salem Maritime National Historic Site,25,009
752,Salinas Pueblo Missions National Monument,35,053
753,Salinas Pueblo Missions National Monument,35,057
754,Salt River Bay National Historical Park and Ecological Preserve,78,010
755,San Antonio Missions National Historical Park,48,029
756,San Antonio Missions National Historical Park,48,493
757,San Francisco Maritime National Historical Park,06,075
758,San Juan Island National Historical Park,53,055
759,San Juan National Historic Site,72,127
760,San Juan National Historic Site,72,137
761,Sand Creek Massacre National Historic Site,08,061
762,Santa Monica Mountains National Recreation Area,06,037
763,Santa Monica Mountains National Recreation Area,06,111
764,Saratoga National Historical Park,36,091
765,Saugus Iron Works National Historic Site,25,009
766,Scotts Bluff National Monument,31,157
767,Selma to Montgomery National Historic Trail,01,085
768,Sequoia National Park,06,027
769,Sequoia National Park,06,107
770,Sewall-Belmont House National Historic Site,11,001
771,Shenandoah National Park,51,003
772,Shenandoah National Park,51,015
773,Shenandoah National Park,51,079
774,Shenandoah National Park,51,113
775,Shenandoah National Park,51,139
776,Shenandoah National Park,51,157
777,Shenandoah National Park,51,165
778,Shenandoah National Park,51,187
779,Shiloh National Battlefield,47,071
780,Sitka National Historical Park,02,220
781,Sleeping Bear Dunes National Lakeshore,26,019
782,Sleeping Bear Dunes National Lakeshore,26,089
783,Springfield Armory National Historic Site,25,013
784,Statue Of Liberty National Monument,36,061
785,Steamtown National Historic Site,42,069
786,Stones River National Battlefield,47,149
787,Stonewall National Monument,36,061
788,Sunset Crater Volcano National Monument,04,005
789,Tallgrass Prairie National Preserve,20,017
790,Theodore Roosevelt Island National Memorial,11,001
791,Theodore Roosevelt National Park,38,007
792,Theodore Roosevelt National Park,38,053
793,Thomas Edison National Historical Park,34,013
794,Thomas Jefferson Memorial,11,001
795,Thomas Stone National Historic Site,24,017
796,Timpanogos Cave National Monument,49,049
797,Timucuan Ecological and Historic Preserve,12,031
798,Timucuan Ecological and Historic Preserve,12,089
799,Tonto National Monument,04,007
800,Tule Springs Fossil Beds National Monument,32,003
801,Tumacacori National Historical Park,04,023
802,Tupelo National Battlefield,28,081
803,Tuskegee Airmen National Historic Site,01,087
804,Tuskegee Institute National Historic Site,01,087
805,Tuzigoot National Monument,04,025
806,Ulysses S. Grant National Historic Site,29,189
807,Upper Delaware Scenic and Recreational River,36,025
808,Upper Delaware Scenic and Recreational River,36,071
809,Upper Delaware Scenic and Recreational River,36,105
810,Upper Delaware Scenic and Recreational River,42,103
811,Upper Delaware Scenic and Recreational River,42,127
812,Valles Caldera National Preserve,35,028
813,Valles Caldera National Preserve,35,039
814,Valles Caldera National Preserve,35,043
815,Valley Forge National Historical Park,42,029
816,Valley Forge National Historical Park,42,091
817,Vanderbilt Mansion National Historic Site,36,027
818,Vicksburg National Military Park,28,149
819,Virgin Islands Coral Reef National Monument,78,020
820,Virgin Islands National Park,78,020
821,Voyageurs National Park,27,071
822,Voyageurs National Park,27,137
823,Waco Mammoth National Monument,48,309
824,Walnut Canyon National Monument,04,005
825,War in the Pacific,66,010
826,Washita Battlefield National Historic Site,40,129
827,Weir Farm National Historic Site,09,001
828,Whiskeytown-Shasta-Trinity National Recreation Area,06,089
829,Whiskeytown-Shasta-Trinity National Recreation Area,06,105
830,White Sands National Monument,35,013
831,White Sands National Monument,35,035
832,Whitman Mission National Historic Site,53,071
833,Wilson's Creek National Battlefield,29,043
834,Wilson's Creek National Battlefield,29,077
835,Wind Cave National Park,46,033
836,Wolf Trap National Park for the Performing Arts,51,059
837,World War II Valor in the Pacific National Monument,06,049
838,World War II Valor in the Pacific National Monument,15,003
839,Wrangell-St. Elias National Park,02,261
840,Wrangell-St. Elias National Park,02,282
841,Wrangell-St. Elias National Preserve,02,240
842,Wrangell-St. Elias National Preserve,02,261
843,Wrangell-St. Elias National Preserve,02,282
844,Wright Brothers National Memorial,37,055
845,Wupatki National Monument,04,005
846,Yellowstone National Park,16,043
847,Yellowstone National Park,30,031
848,Yellowstone National Park,30,067
849,Yellowstone National Park,56,029
850,Yellowstone National Park,56,039
851,Yosemite National Park,06,039
852,Yosemite National Park,06,043
853,Yosemite National Park,06,051
854,Yosemite National Park,06,109
855,Yucca House National Monument,08,083
856,Yukon-Charley Rivers National Preserve,02,090
857,Yukon-Charley Rivers National Preserve,02,240
858,Yukon-Charley Rivers National Preserve,02,290
859,Zion National Park,49,021
860,Zion National Park,49,025
861,Zion National Park,49,053
