OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
163,Blue Ridge Parkway,37,121
164,Blue Ridge Parkway,37,171
165,Blue Ridge Parkway,37,173
166,Blue Ridge Parkway,37,175
167,Blue Ridge Parkway,37,189
168,Blue Ridge Parkway,37,193
169,Blue Ridge Parkway,37,199
170,Blue Ridge Parkway,51,009
171,Blue Ridge Parkway,51,015
172,Blue Ridge Parkway,51,019
173,Blue Ridge Parkway,51,023
174,Blue Ridge Parkway,51,035
175,Blue Ridge Parkway,51,063
176,Blue Ridge Parkway,51,067
177,Blue Ridge Parkway,51,077
178,Blue Ridge Parkway,51,125
179,Blue Ridge Parkway,51,141
180,Blue Ridge Parkway,51,161
181,Blue Ridge Parkway,51,163
182,Blue Ridge Parkway,51,770
183,Bluestone National Scenic River,54,055
184,Bluestone National Scenic River,54,089
185,Booker T. Washington National Monument,51,067
186,Boston African American National Historic Site,25,025
187,Boston Harbor Islands National Recreation Area,25,021
188,Boston Harbor Islands National Recreation Area,25,023
189,Boston Harbor Islands National Recreation Area,25,025
190,Boston National Historical Park,25,025
191,Brices Cross Roads National Battlefield Site,28,081
192,Bryce Canyon National Park,49,017
193,Bryce Canyon National Park,49,025
194,Buck Island Reef National Monument,78,010
195,Buffalo National River,05,005
196,Buffalo National River,05,089
197,Buffalo National River,05,101
198,Buffalo National River,05,129
199,Cabrillo National Monument,06,073
200,Canaveral National Seashore,12,009
201,Canaveral National Seashore,12,127
202,Cane River Creole National Historical Park,22,069
203,Canyon de Chelly National Monument,04,001
204,Canyonlands National Park,49,017
205,Canyonlands National Park,49,019
206,Canyonlands National Park,49,037
207,Canyonlands National Park,49,055
208,Cape Cod National Seashore,25,001
209,Cape Hatteras National Seashore,37,055
210,Cape Hatteras National Seashore,37,095
211,Cape Krusenstern National Monument,02,188
212,Cape Lookout National Seashore,37,031
213,Capitol Reef National Park,49,015
214,Capitol Reef National Park,49,017
215,Capitol Reef National Park,49,041
216,Capitol Reef National Park,49,055
217,Capulin Volcano National Monument,35,059
218,Carl Sandburg Home National Historic Site,37,089
219,Carlsbad Caverns National Park,35,015
220,Casa Grande Ruins National Monument,04,021
221,Castillo de San Marcos National Monument,12,109
222,Castle Clinton National Monument,36,061
223,Castle Mountains National Monument,06,071
224,Catoctin Mountain Park,24,021
225,Catoctin Mountain Park,24,043
226,Cedar Breaks National Monument,49,021
227,Cedar Creek and Belle Grove National Historical Park,51,069
228,Cedar Creek and Belle Grove National Historical Park,51,171
229,Cedar Creek and Belle Grove National Historical Park,51,187
230,Cesar E. Chavez National Monument,06,029
231,Chaco Culture National Historical Park,35,031
232,Chaco Culture National Historical Park,35,045
233,Chamizal National Memorial,48,141
234,Channel Islands National Park,06,083
235,Channel Islands National Park,06,111
236,Charles Pinckney National Historic Site,45,019
237,Charles Young Buffalo Soldiers National Monument,39,057
238,Chattahoochee River National Recreation Area,13,067
239,Chattahoochee River National Recreation Area,13,117
240,Chattahoochee River National Recreation Area,13,121
241,Chattahoochee River National Recreation Area,13,135
242,Chesapeake and Ohio Canal National Historical Park,11,001
243,Chesapeake and Ohio Canal National Historical Park,24,001
244,Chesapeake and Ohio Canal National Historical Park,24,021
245,Chesapeake and Ohio Canal National Historical Park,24,031
246,Chesapeake and Ohio Canal National Historical Park,24,033
247,Chesapeake and Ohio Canal National Historical Park,24,043
248,Chesapeake and Ohio Canal National Historical Park,51,153
